,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
91,Bandai,161913,Mixed or average reviews,11,"Action, Fighting, Wrestling",,Bandai,https://www.metacritic.com/company/bandai,T,Generally favorable reviews,7
92,Aki Corp.,161671,Generally favorable reviews,21,"Action, Fighting, Wrestling",,Bandai,https://www.metacritic.com/company/bandai,T,Mixed or average reviews,4
93,Aki Corp.,102506,Generally favorable reviews,33,"Action, Fighting, Wrestling",,EA Sports Big,https://www.metacritic.com/company/ea-sports-big,T,Generally favorable reviews,57
94,Aki Corp.,161707,Generally favorable reviews,22,"Action, Fighting, Wrestling",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Generally favorable reviews,13
95,Acclaim,161602,Mixed or average reviews,14,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,T,No user score yet,
96,Acclaim,161619,Mixed or average reviews,14,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,T,No user score yet,
97,Acclaim,102395,Mixed or average reviews,15,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,T,Mixed or average reviews,7
98,Powerhead Games,161748,Generally unfavorable reviews,11,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,E,Generally unfavorable reviews,10
99,Yuke's,102250,Generally favorable reviews,27,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,88
100,Natsume,161566,Mixed or average reviews,10,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,E,Generally favorable reviews,7
101,"Anchor (Legacy), Microvision",102433,Mixed or average reviews,6,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",No Online Multiplayer,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,83
102,Spike,161391,Mixed or average reviews,7,"Action, Fighting, Wrestling",,Bam Entertainment,https://www.metacritic.com/company/bam-entertainment,T,Generally favorable reviews,8
103,Yuke's,161039,Mixed or average reviews,25,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,22
104,Acclaim,161439,Mixed or average reviews,10,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,T,Mixed or average reviews,4
105,Acclaim,161265,Mixed or average reviews,18,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,T,Mixed or average reviews,4
106,Anchor (Legacy),160971,Mixed or average reviews,33,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,18
107,Acclaim,101701,Mixed or average reviews,24,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,T,Generally favorable reviews,16
108,Natsume,161093,Mixed or average reviews,7,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,E,No user score yet,
