,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
222,Marvelous,161829,Generally favorable reviews,10,"Action, Fighting, 2D",,Atlus Co.,https://www.metacritic.com/company/atlus-co,T,Generally favorable reviews,16
223,Dimps Corporation,103175,Mixed or average reviews,28,"Action, Fighting, 3D",,Atari,https://www.metacritic.com/company/atari,T,Generally favorable reviews,118
224,"Namco Bandai Games America, Namco Bandai Games",113361,Generally favorable reviews,59,"Action, Fighting, Fighting, 3D, 3D",2 Players 2 Players Online,"Namco Bandai Games America, Namco Bandai Games",https://www.metacritic.com/company/namco-bandai-games-america,T,Mixed or average reviews,175
225,Yuke's,114925,Generally favorable reviews,59,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,55
226,Yuke's,114926,Generally favorable reviews,38,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",Up to 4 Players,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,72
227,Yuke's,114928,Generally favorable reviews,11,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",No Online Multiplayer,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,14
228,Yuke's,114929,Generally favorable reviews,7,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,12
229,Game Arts,113970,Mixed or average reviews,34,"Action, Fighting, Beat-'Em-Up, Fighting, 3D, 2D",,Ubisoft,https://www.metacritic.com/company/ubisoft,E10+,Generally favorable reviews,30
230,"DreamFactory, Takara Tomy",111832,Mixed or average reviews,12,"Action, Fighting, Fighting, 3D, 3D",No Online Multiplayer,Tomy Corporation,https://www.metacritic.com/company/tomy-corporation,T,Mixed or average reviews,14
231,Eighting,114098,Mixed or average reviews,8,"Action, Fighting, Fighting, 3D, 3D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,14
232,"Bandai Namco Games, Project Soul",114704,Generally favorable reviews,52,"Action, Fighting, Fighting, 3D, 3D",2 Players,"Namco Bandai Games America, Namco Bandai Games",https://www.metacritic.com/company/namco-bandai-games-america,T,Mixed or average reviews,69
233,Square Enix,110117,Generally favorable reviews,61,"Action, Fighting, Fighting, 3D, 3D",2 Players,Square Enix,https://www.metacritic.com/company/square-enix,T,Generally favorable reviews,303
234,Backbone Entertainment,114706,Generally favorable reviews,16,"Action, Fighting, Fighting, 2D, 2D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,48
235,Backbone Entertainment,114705,Generally favorable reviews,39,"Action, Fighting, Fighting, 2D, 2D",2 Players Online,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,40
236,SNK Playmore,114262,Mixed or average reviews,48,"Action, Fighting, Fighting, 2D, 2D",2 Players,Ignition Entertainment,https://www.metacritic.com/company/ignition-entertainment,T,Mixed or average reviews,50
237,SNK Playmore,114263,Mixed or average reviews,57,"Action, Fighting, Fighting, 2D, 2D",2 Players 8 Players Online,Ignition Entertainment,https://www.metacritic.com/company/ignition-entertainment,T,Mixed or average reviews,43
238,Capcom,111277,Universal acclaim,23,"Action, Fighting, Fighting, 3D, 2D, 3D",2 Players Online,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,446
239,SNK Playmore,113132,Mixed or average reviews,4,"Action, Fighting, Fighting, 2D, 2D",2 Players Online,SNK Playmore,https://www.metacritic.com/company/snk-playmore,T,Generally favorable reviews,16
240,Irem,111146,Mixed or average reviews,14,"Action, Fighting, Fighting, 3D, 3D",,Atlus,https://www.metacritic.com/company/atlus,E10+,Mixed or average reviews,10
241,Arc System Works,114281,Generally favorable reviews,50,"Action, Fighting, Fighting, 2D, 2D",Up to 6 Players,Aksys Games,https://www.metacritic.com/company/aksys-games,T,Generally favorable reviews,128
242,Arc System Works,114282,Generally favorable reviews,51,"Action, Fighting, Fighting, 2D, 2D",Up to 6 Players,Aksys Games,https://www.metacritic.com/company/aksys-games,T,Generally favorable reviews,80
243,SNK Playmore,115371,Generally favorable reviews,10,"Action, General, Fighting, Fighting, 2D, 2D",2 Players Online,SNK Playmore,https://www.metacritic.com/company/snk-playmore,T,Generally favorable reviews,13
244,"THQ, Yuke's",112595,Generally favorable reviews,58,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",2 Players Online,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,55
245,Yuke's,112596,Generally favorable reviews,68,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",2 Players Online,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,56
246,Arc System Works,113973,Generally favorable reviews,10,"Action, Fighting, Fighting, 2D, 2D",No Online Multiplayer,Aksys Games,https://www.metacritic.com/company/aksys-games,T,Generally favorable reviews,11
247,Sega AM3,114210,Mixed or average reviews,19,"Action, Fighting, Fighting, 3D, 3D",2 Players Online,Sega,https://www.metacritic.com/company/sega,E10+,Generally favorable reviews,9
248,Tarsier Studios,112759,Mixed or average reviews,36,"Action, Miscellaneous, Fighting, Fighting, Party / Minigame, 2D, 2D",4 Players Online,SCEA,https://www.metacritic.com/company/scea,E10+,Mixed or average reviews,42
