,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
134,Digital Illusions,101511,Generally favorable reviews,27,"Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade",64 Players Online,EA Games,https://www.metacritic.com/company/ea-games,T,Generally favorable reviews,496.0
135,Acclaim,161332,Mixed or average reviews,25,"Action, Shooter, First-Person, Sci-Fi",,Acclaim,https://www.metacritic.com/company/acclaim,M,Mixed or average reviews,11.0
136,Acclaim,161344,Mixed or average reviews,19,"Action, Shooter, First-Person, Sci-Fi",,Acclaim,https://www.metacritic.com/company/acclaim,M,Mixed or average reviews,28.0
137,Acclaim,102067,Mixed or average reviews,20,"Action, Shooter, First-Person, Sci-Fi",,Acclaim,https://www.metacritic.com/company/acclaim,M,Mixed or average reviews,35.0
138,Third Law Interactive,102204,Mixed or average reviews,16,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,M,Mixed or average reviews,33.0
139,Torus Games,161631,Generally favorable reviews,15,"Action, Shooter, First-Person, Sci-Fi",,Take-Two Interactive,https://www.metacritic.com/company/take-two-interactive,T,Generally favorable reviews,16.0
140,Bohemia Interactive,102111,Generally favorable reviews,13,"Action, Shooter, Shooter, First-Person, Tactical, Modern, Modern",,Codemasters,https://www.metacritic.com/company/codemasters,M,Generally favorable reviews,57.0
141,U.S. Army,102339,Generally favorable reviews,13,"Action, Shooter, Shooter, First-Person, Tactical, Modern",No Online Multiplayer,U.S. Army,https://www.metacritic.com/company/us-army,T,Mixed or average reviews,38.0
142,Rebellion,161268,Mixed or average reviews,5,"Action, Shooter, First-Person, Tactical, Modern",,NovaLogic,https://www.metacritic.com/company/novalogic,T,Generally favorable reviews,23.0
143,Zombie Studios,102140,Mixed or average reviews,8,"Action, Shooter, Shooter, First-Person, Tactical, Modern, Modern",,NovaLogic,https://www.metacritic.com/company/novalogic,T,Generally favorable reviews,26.0
144,Saturn+,102102,Generally unfavorable reviews,15,"Adventure, 3D, First-Person, Modern",,"1C, 1C Entertainment",https://www.metacritic.com/company/1c,T,No user score yet,
145,4D Rulers,101418,Mixed or average reviews,22,"Action, Shooter, Shooter, First-Person, Sci-Fi, Arcade",,DreamCatcher Interactive,https://www.metacritic.com/company/dreamcatcher-interactive,M,Mixed or average reviews,7.0
146,Red Storm Entertainment,102215,Mixed or average reviews,19,"Action, Shooter, Shooter, First-Person, Third-Person, Shoot-'Em-Up, Tactical, Top-Down, Modern, Modern",,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Mixed or average reviews,12.0
147,EA LA,101573,Generally favorable reviews,29,"Action, Shooter, First-Person, Historic",,EA Games,https://www.metacritic.com/company/ea-games,T,Generally favorable reviews,202.0
148,Raven Software,101644,Generally favorable reviews,22,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",,Activision,https://www.metacritic.com/company/activision,M,Mixed or average reviews,116.0
149,Bethesda Softworks,102860,Generally favorable reviews,30,"Role-Playing, First-Person, First-Person, Western-Style",No Online Multiplayer,Bethesda Softworks,https://www.metacritic.com/company/bethesda-softworks,T,Generally favorable reviews,1758.0
150,Cryo Interactive,102191,Mixed or average reviews,6,"Adventure, 3D, First-Person, Fantasy",,DreamCatcher Interactive,https://www.metacritic.com/company/dreamcatcher-interactive,E,No user score yet,
151,Kamehan Studios,102081,Mixed or average reviews,12,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",,"Atari, MicroProse, Infogrames",https://www.metacritic.com/company/atari,M,Mixed or average reviews,24.0
152,Piranha Games,101703,Mixed or average reviews,19,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",Online Multiplayer,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,M,Mixed or average reviews,19.0
153,Monolith Productions,101267,Mixed or average reviews,23,"Action, Shooter, First-Person, Modern",,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,T,Generally favorable reviews,19.0
154,Stalker Entertainment,163156,Mixed or average reviews,9,"Action, Shooter, First-Person, Historic",,Bam Entertainment,https://www.metacritic.com/company/bam-entertainment,M,Mixed or average reviews,64.0
155,Red Storm Entertainment,102044,Generally favorable reviews,14,"Action, Shooter, Shooter, First-Person, Tactical, Modern, Modern",,Ubisoft,https://www.metacritic.com/company/ubisoft,M,Mixed or average reviews,23.0
156,Electronic Arts,161302,Mixed or average reviews,16,"Action, Shooter, First-Person, Modern",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Mixed or average reviews,18.0
157,Raven Software,101704,Generally favorable reviews,35,"Action, Action Adventure, Shooter, Shooter, Linear, First-Person, Sci-Fi, Sci-Fi, Arcade",Online Multiplayer Up to 16 Players,"LucasArts, Activision",https://www.metacritic.com/company/lucasarts,T,Generally favorable reviews,508.0
158,Barking Dog,101430,Generally favorable reviews,13,"Action, Shooter, Shooter, First-Person, Tactical, Modern",,Crave,https://www.metacritic.com/company/crave,M,Generally favorable reviews,25.0
