,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
964,WayForward,224924,Generally favorable reviews,18,"Platformer, 2D, Action, Platformer, 2D",No Online Multiplayer,"Rising Star Games, WayForward",https://www.metacritic.com/company/rising-star-games,E10+,Generally favorable reviews,135.0
965,Rain Games,246642,Generally favorable reviews,15,"Action, Platformer, Platformer, 2D, 2D",,Rain Games,https://www.metacritic.com/company/rain-games,E,Generally favorable reviews,49.0
966,Cellar Door Games,252876,Generally favorable reviews,22,"Action, Platformer, Platformer, 2D, 2D",,Cellar Door Games,https://www.metacritic.com/company/cellar-door-games,E10+,Generally favorable reviews,270.0
967,Cellar Door Games,252877,Generally favorable reviews,7,"Action, Platformer, Platformer, 2D, 2D",,Cellar Door Games,https://www.metacritic.com/company/cellar-door-games,E10+,Generally favorable reviews,97.0
968,Just Add Water,245734,Generally favorable reviews,50,"Platformer, 2D, Action, Platformer, 2D",No Online Multiplayer,"Oddworld Inhabitants, Limited Run Games",https://www.metacritic.com/company/oddworld-inhabitants,T,Generally favorable reviews,383.0
969,Fuzzy Wuzzy Games,231503,Mixed or average reviews,13,"Action, Platformer, Platformer, 3D, 3D",No Online Multiplayer,Fuzzy Wuzzy Games,https://www.metacritic.com/company/fuzzy-wuzzy-games,E,Generally favorable reviews,42.0
970,Yacht Club Games,237780,Generally favorable reviews,24,"Platformer, 2D, Action, Platformer, 2D",,Yacht Club Games,https://www.metacritic.com/company/yacht-club-games,E,Generally favorable reviews,317.0
971,Yacht Club Games,237781,Universal acclaim,9,"Platformer, 2D, Action, Platformer, 2D",No Online Multiplayer,Yacht Club Games,https://www.metacritic.com/company/yacht-club-games,E,Generally favorable reviews,301.0
972,Yacht Club Games,237783,Generally favorable reviews,46,"Platformer, 2D, Action, Platformer, 2D",,Yacht Club Games,https://www.metacritic.com/company/yacht-club-games,E,Generally favorable reviews,547.0
973,Ubisoft Montpellier,255373,Generally favorable reviews,28,"Platformer, 2D, Action, Platformer, 2D",No Online Multiplayer,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Generally favorable reviews,723.0
974,Ubisoft Montpellier,255378,Generally favorable reviews,16,"Platformer, 2D, Action, Platformer, 2D",,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Generally favorable reviews,218.0
975,Ubisoft Montpellier,255375,Generally favorable reviews,4,"Action, Platformer, Platformer, 2D, 2D",,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Generally favorable reviews,74.0
976,Ubisoft Montpellier,255377,Generally favorable reviews,48,"Platformer, 2D, Action, Platformer, 2D",,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Generally favorable reviews,680.0
977,Nicalis,213556,Mixed or average reviews,4,"Action, General, Platformer, Platformer, 2D, 2D",No Online Multiplayer,Nicalis,https://www.metacritic.com/company/nicalis,T,Mixed or average reviews,15.0
978,Nicalis,213557,Generally favorable reviews,6,"Action, General, Platformer, Platformer, 2D, 2D",No Online Multiplayer,Nicalis,https://www.metacritic.com/company/nicalis,T,Mixed or average reviews,23.0
979,Nicalis,254814,Generally favorable reviews,4,"Action, Platformer, Platformer, 2D, 2D",,Nicalis,https://www.metacritic.com/company/nicalis,T,Mixed or average reviews,18.0
980,Nicalis,254815,Generally favorable reviews,8,"Action, Platformer, Platformer, 2D, 2D",No Online Multiplayer,Nicalis,https://www.metacritic.com/company/nicalis,T,Mixed or average reviews,37.0
981,Infinite Monkeys,254804,Mixed or average reviews,17,"Platformer, 2D, Action, Platformer, 2D",No Online Multiplayer,Infinite Monkeys,https://www.metacritic.com/company/infinite-monkeys,,Mixed or average reviews,32.0
982,Free Lives,219973,Generally favorable reviews,32,"Platformer, 2D, Action, Platformer, 2D",,Devolver Digital,https://www.metacritic.com/company/devolver-digital,,Generally favorable reviews,356.0
983,"Polytron Corp., BlitWorks",252874,Universal acclaim,6,"Action, Platformer, Platformer, 2D, 2D",No Online Multiplayer,Polytron Corp.,https://www.metacritic.com/company/polytron-corp,E,Mixed or average reviews,145.0
984,"Polytron Corp., BlitWorks",252898,Universal acclaim,17,"Action, Platformer, Platformer, 2D, 2D",No Online Multiplayer,Polytron Corp.,https://www.metacritic.com/company/polytron-corp,E,Mixed or average reviews,582.0
985,Studio Saizensen,260140,Mixed or average reviews,13,"Platformer, 2D, Action, Platformer, 2D",,Natsume,https://www.metacritic.com/company/natsume,E,Generally favorable reviews,23.0
986,System 3,261512,Generally unfavorable reviews,8,"Action, Platformer, Platformer, 2D, 2D",,Maximum Games,https://www.metacritic.com/company/maximum-games,E10+,Generally unfavorable reviews,53.0
987,Retro Studios,245752,Generally favorable reviews,77,"Platformer, 2D, Action, Platformer, 2D",No Online Multiplayer,Nintendo,https://www.metacritic.com/company/nintendo,E,Generally favorable reviews,910.0
988,"Neko Entertainment, Bulkypix",256958,Mixed or average reviews,6,"Action, Platformer, Platformer, 2D, 2D",,Neko Entertainment,https://www.metacritic.com/company/neko-entertainment,E,Mixed or average reviews,4.0
