,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
220,Phantagram,162725,Generally favorable reviews,55,"Strategy, Real-Time, Fantasy",6 Players Online,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,M,Generally favorable reviews,32.0
221,Freedom LLC,106144,Mixed or average reviews,10,"Strategy, Real-Time, Historic, General, Historic",2 Players Online,Merscom LLC,https://www.metacritic.com/company/merscom-llc,T,No user score yet,
222,Stormregion,105661,Generally favorable reviews,36,"Strategy, Real-Time, Historic, General, Historic",6 Players Online,cdv Software,https://www.metacritic.com/company/cdv-software,T,Generally favorable reviews,25.0
223,Introversion,105829,Generally favorable reviews,46,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",No Online Multiplayer,"Cinemaware, Introversion",https://www.metacritic.com/company/cinemaware,E,Generally favorable reviews,140.0
224,Black Sea Studios,103365,Generally favorable reviews,26,"Strategy, Real-Time, Historic, General, Historic",6 Players Online,Paradox Interactive,https://www.metacritic.com/company/paradox-interactive,E10+,Generally favorable reviews,136.0
225,Pyro Studios,104044,Mixed or average reviews,28,"Strategy, Real-Time, Historic, General, Historic",4 Players Online No Online Multiplayer,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,T,Generally favorable reviews,105.0
226,GSC Game World,102201,Mixed or average reviews,33,"Strategy, Real-Time, Historic, Historic, Command",6 Players Online No Online Multiplayer,cdv Software,https://www.metacritic.com/company/cdv-software,T,Mixed or average reviews,58.0
227,Mad Doc Software,104001,Generally favorable reviews,39,"Strategy, Real-Time, Historic, General, Historic",10 Players Online Up to 10 Players,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,T,Mixed or average reviews,118.0
228,Koios Works,105923,Mixed or average reviews,4,"Strategy, Real-Time, Historic",,Matrix Games,https://www.metacritic.com/company/matrix-games,,Generally favorable reviews,7.0
229,FireFly Studios,105075,Mixed or average reviews,33,"Strategy, Real-Time, Historic, General, Historic",8 Players Online Online Multiplayer,2K Games,https://www.metacritic.com/company/2k-games,T,Mixed or average reviews,225.0
230,Walkon Games,103571,Mixed or average reviews,5,"Strategy, Real-Time, Historic, General, Historic",,GMX Media,https://www.metacritic.com/company/gmx-media,T,Generally favorable reviews,7.0
231,Pandemic Studios,105393,Mixed or average reviews,24,"Strategy, Real-Time, Military",2 Players Online,THQ,https://www.metacritic.com/company/thq,M,Generally favorable reviews,20.0
232,Eugen Systems,104461,Generally favorable reviews,43,"Strategy, Real-Time, Military, General, Military",8 Players Online,"Atari, Atari SA",https://www.metacritic.com/company/atari,T,Generally favorable reviews,62.0
233,Cyanide,103762,Mixed or average reviews,14,"Strategy, Real-Time, Fantasy, General",6 Players Online,Strategy First,https://www.metacritic.com/company/strategy-first,M,No user score yet,
234,Mithis/HD Interactive,101788,Generally favorable reviews,24,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",12 Players Online,HD Interactive,https://www.metacritic.com/company/hd-interactive,T,Generally favorable reviews,95.0
235,Koei,102626,Mixed or average reviews,26,"Strategy, Real-Time, Historic",,Koei,https://www.metacritic.com/company/koei,T,Generally favorable reviews,27.0
236,Gameyus Interactive,105074,Generally unfavorable reviews,11,"Strategy, Real-Time, Military, General, Military",,GMX Media,https://www.metacritic.com/company/gmx-media,T,Mixed or average reviews,7.0
237,GFI,103744,No score yet,0,"Strategy, Turn-Based, General",,GFI,https://www.metacritic.com/company/gfi,,No user score yet,
238,Paradox Development Studio,104055,Generally favorable reviews,27,"Strategy, Real-Time, Military, General, Military",32 Players Online,Paradox Interactive,https://www.metacritic.com/company/paradox-interactive,E,Generally favorable reviews,107.0
239,Digital Reality,103652,Mixed or average reviews,19,"Strategy, Real-Time, Historic, General, Historic",8 Players Online,O3 Entertainment,https://www.metacritic.com/company/o3-entertainment,T,Mixed or average reviews,8.0
240,EA LA,103463,Generally favorable reviews,42,"Strategy, Real-Time, Fantasy, General, Fantasy",4 Players Online,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Generally favorable reviews,327.0
241,Black Hole Games,103711,Mixed or average reviews,31,"Strategy, Real-Time, Fantasy, General, Fantasy",12 Players Online,EA Games,https://www.metacritic.com/company/ea-games,T,Generally favorable reviews,61.0
242,La Plata,104375,Mixed or average reviews,23,"Strategy, Real-Time, Historic, General, Historic, Tactics",,cdv Software,https://www.metacritic.com/company/cdv-software,T,Mixed or average reviews,11.0
243,GSC Game World,104457,Mixed or average reviews,16,"Strategy, Real-Time, Historic, General, Historic",6 Players Online,Ubisoft,https://www.metacritic.com/company/ubisoft,M,Generally favorable reviews,53.0
244,Stardock,103775,Generally favorable reviews,11,"Strategy, Turn-Based, Real-Time, Sci-Fi, 4X",No Online Multiplayer,Strategy First,https://www.metacritic.com/company/strategy-first,E,Mixed or average reviews,8.0
245,TimeGate Studios,103165,Mixed or average reviews,27,"Strategy, Real-Time, Military, General, Military",8 Players Online,"Atari, Atari SA",https://www.metacritic.com/company/atari,T,Generally favorable reviews,24.0
246,Phantagram,161049,Generally favorable reviews,50,"Strategy, Real-Time, Fantasy",2 Players Online,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,M,Generally favorable reviews,44.0
247,GolemLabs,103009,Mixed or average reviews,19,"Strategy, Real-Time, Modern, General, Modern",32 Players Online,DreamCatcher Interactive,https://www.metacritic.com/company/dreamcatcher-interactive,T,Generally favorable reviews,46.0
248,Take-Two Interactive,105207,Mixed or average reviews,6,"Strategy, Real-Time, Modern, General",,Global Star Software,https://www.metacritic.com/company/global-star-software,T,No user score yet,
249,Stormregion,102508,Generally favorable reviews,38,"Strategy, Real-Time, Historic, General, Historic",8 Players Online,cdv Software,https://www.metacritic.com/company/cdv-software,T,Generally favorable reviews,54.0
250,Elixir Studios,103172,Generally favorable reviews,51,"Strategy, Real-Time, Modern, General, Modern",No Online Multiplayer,VU Games,https://www.metacritic.com/company/vu-games,T,Generally favorable reviews,150.0
251,Nicely Crafted,102415,Mixed or average reviews,17,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",,Strategy First,https://www.metacritic.com/company/strategy-first,T,Mixed or average reviews,5.0
252,Paradox Development Studio,102200,Mixed or average reviews,26,"Strategy, Real-Time, Historic, General, Historic",,Paradox Interactive,https://www.metacritic.com/company/paradox-interactive,E,Mixed or average reviews,47.0
253,Creative Assembly,102748,Universal acclaim,58,"Strategy, Real-Time, Historic, General, Historic",8 Players Online No Online Multiplayer,Activision,https://www.metacritic.com/company/activision,T,Universal acclaim,1474.0
254,TimeGate Studios,103138,Generally favorable reviews,38,"Strategy, Real-Time, Fantasy, General, Fantasy, Command",Up to 8 Players,Global Star Software,https://www.metacritic.com/company/global-star-software,T,Generally favorable reviews,39.0
255,Paradox Development Studio,104381,Generally favorable reviews,9,"Strategy, Real-Time, Historic, General, Historic",,"Atari, Atari SA",https://www.metacritic.com/company/atari,E,Mixed or average reviews,16.0
256,Pandemic Studios,103374,Generally favorable reviews,26,"Strategy, Real-Time, Military, General, Military",2 Players Online,THQ,https://www.metacritic.com/company/thq,M,Mixed or average reviews,47.0
257,"Relic, Relic Entertainment",103560,Generally favorable reviews,51,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",8 Players Online,THQ,https://www.metacritic.com/company/thq,M,Generally favorable reviews,454.0
258,"Ascaron Entertainment GmbH, Ascaron Entertainment",103345,Generally favorable reviews,20,"Strategy, Real-Time, Historic, General, Historic",No Online Multiplayer,"Ascaron Entertainment GmbH, Ascaron Entertainment",https://www.metacritic.com/company/ascaron-entertainment-gmbh,T,Generally favorable reviews,62.0
259,"Ascaron Entertainment GmbH, Ascaron Entertainment",104373,Generally favorable reviews,22,"Strategy, Real-Time, Modern, General, Modern",,Tri Synergy,https://www.metacritic.com/company/tri-synergy,T,Generally favorable reviews,7.0
260,Cat Daddy Games,105144,Mixed or average reviews,6,"Strategy, Real-Time, Fantasy, General",,Global Star Software,https://www.metacritic.com/company/global-star-software,T,Generally favorable reviews,11.0
