,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
1391,Shining Rock Software,260901,Mixed or average reviews,32,"General, General, Strategy, City Building, Management, Modern, Government",No Online Multiplayer,Shining Rock Software,https://www.metacritic.com/company/shining-rock-software,,Generally favorable reviews,729.0
1392,,285203,Mixed or average reviews,5,"Action, Strategy, Miscellaneous, Turn-Based, General, Card Battle",,Square Enix,https://www.metacritic.com/company/square-enix,,No user score yet,
1393,"3000AD, Inc.",284709,Generally unfavorable reviews,6,"Action, Strategy, Real-Time, General, Defense",No Online Multiplayer,"3000AD, Inc.",https://www.metacritic.com/company/3000ad-inc,T,Overwhelming dislike,63.0
1394,"Hassey Enterprises, Inc.",282970,Mixed or average reviews,4,"Strategy, Real-Time, Sci-Fi, General",,"Hassey Enterprises, Inc.",https://www.metacritic.com/company/hassey-enterprises-inc,,No user score yet,
1395,Bullfrog Productions,281709,Generally unfavorable reviews,22,"Strategy, Real-Time, General, Fantasy",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,,Overwhelming dislike,624.0
1396,Limbic Entertainment,237300,Mixed or average reviews,44,"Fantasy, Strategy, Turn-Based, General, Fantasy",No Online Multiplayer,Ubisoft,https://www.metacritic.com/company/ubisoft,,Mixed or average reviews,341.0
1397,TreeFortress Games,277984,Generally favorable reviews,13,"Action, Strategy, Real-Time, General, Defense",,Bulkypix,https://www.metacritic.com/company/bulkypix,,Mixed or average reviews,17.0
1398,Paradox Development Studio,261183,Generally favorable reviews,8,"Strategy, Real-Time, Historic, General, Historic",,Paradox Interactive,https://www.metacritic.com/company/paradox-interactive,,Generally favorable reviews,57.0
1399,Stoic,266590,Generally favorable reviews,74,"Role-Playing, General, Strategy, Turn-Based, Tactics",No Online Multiplayer,Versus Evil,https://www.metacritic.com/company/versus-evil,T,Generally favorable reviews,829.0
1400,Mind over Matter,277976,Mixed or average reviews,9,"Strategy, General",,Nordic Games Publishing,https://www.metacritic.com/company/nordic-games-publishing,,Mixed or average reviews,25.0
1401,Grumpyface Studios,275502,Generally favorable reviews,14,"Action, Strategy, Real-Time, General, Defense",,Adult Swim,https://www.metacritic.com/company/adult-swim,,Mixed or average reviews,13.0
1402,Zen Studios,261974,Generally favorable reviews,8,"Strategy, Real-Time, General, Defense",No Online Multiplayer,Zen Studios,https://www.metacritic.com/company/zen-studios,T,Generally favorable reviews,41.0
1403,"Rudolf Kremers, Alex May",221258,Mixed or average reviews,5,"Strategy, General, General",,Omni Systems,https://www.metacritic.com/company/omni-systems,E,Mixed or average reviews,8.0
1404,Creative Assembly,272914,Mixed or average reviews,7,"Strategy, Real-Time, General, Historic",,Sega,https://www.metacritic.com/company/sega,,Generally unfavorable reviews,56.0
1405,,261922,Generally favorable reviews,6,"Action, Strategy, General, Management, Business / Tycoon",,Bit By Bit Studios,https://www.metacritic.com/company/bit-by-bit-studios,,No user score yet,
1406,"Full Control ApS, Full Control",261516,Mixed or average reviews,9,"Strategy, Turn-Based, General, General",,"Full Control ApS, Full Control",https://www.metacritic.com/company/full-control-aps,,Generally favorable reviews,13.0
1407,SideQuest Studios,221279,Mixed or average reviews,26,"Role-Playing, Strategy, Turn-Based, General, General, Tactics",No Online Multiplayer,"EastAsiaSoft, Limited Run Games",https://www.metacritic.com/company/eastasiasoft,E10+,Mixed or average reviews,36.0
1408,,261476,Universal acclaim,5,"Strategy, Turn-Based, Fantasy, General, Fantasy, Tactics",,17-Bit,https://www.metacritic.com/company/17-bit,,Mixed or average reviews,27.0
1409,Frontier Developments,246845,Mixed or average reviews,45,"Tycoon, Strategy, Management, Tycoon, Business / Tycoon",Up to 4 Players,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,E,Generally unfavorable reviews,323.0
1410,Exient Entertainment,261481,Mixed or average reviews,4,"Strategy, Puzzle, Action, General, General",No Online Multiplayer,Activision,https://www.metacritic.com/company/activision,E,Mixed or average reviews,64.0
1411,Wizards of the Coast,261408,Universal acclaim,7,"Action, Strategy, Miscellaneous, General, Turn-Based, Board / Card Game, Card Battle",,"Playdek, Inc.",https://www.metacritic.com/company/playdek-inc,,Mixed or average reviews,18.0
1412,,261409,Universal acclaim,4,"Action, Strategy, General, Turn-Based, General, Tactics",,Shenandoah Studio,https://www.metacritic.com/company/shenandoah-studio,,Mixed or average reviews,15.0
1413,Sega,261440,Mixed or average reviews,5,"Action, Strategy, General, Real-Time, General, MOBA",,Sega,https://www.metacritic.com/company/sega,,No user score yet,
1414,Frontier Developments,261455,Mixed or average reviews,4,"Strategy, Miscellaneous, General, General, Management, Business / Tycoon",No Online Multiplayer,Frontier Developments,https://www.metacritic.com/company/frontier-developments,E10+,Overwhelming dislike,77.0
1415,Paradox Development Studio,261396,Generally favorable reviews,7,"Historic, Strategy, Real-Time, General, Historic",,Paradox Interactive,https://www.metacritic.com/company/paradox-interactive,,Generally favorable reviews,55.0
