,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
661,Hypnotix,162578,Mixed or average reviews,45,"Sports, Traditional, Tennis",4 Players Online,Global Star Software,https://www.metacritic.com/company/global-star-software,M,Mixed or average reviews,9
662,Hypnotix,105819,Mixed or average reviews,15,"Sports, Traditional, Tennis",4 Players Online,Global Star Software,https://www.metacritic.com/company/global-star-software,M,No user score yet,
663,EA Sports,106251,Generally favorable reviews,25,"Sports, Traditional, Football, Sim",2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,40
664,EA Sports,162791,Generally favorable reviews,38,"Sports, Traditional, Football, Sim",2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,30
665,OnNet,105410,Mixed or average reviews,10,"Sports, Traditional, Individual, Golf, Sim, Sim",,"OnNet, Synet Electronics",https://www.metacritic.com/company/onnet,E,No user score yet,
666,EA Canada,105786,Mixed or average reviews,21,"Sports, Traditional, Team, Baseball, Sim, Sim",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E,Generally favorable reviews,17
667,Hypnotix,105820,Mixed or average reviews,9,"Sports, Traditional, Volleyball",,Global Star Software,https://www.metacritic.com/company/global-star-software,M,No user score yet,
668,Clap Hanz,104162,Generally favorable reviews,57,"Sports, Traditional, Individual, Golf, Arcade, Arcade",,SCEA,https://www.metacritic.com/company/scea,E10+,Generally favorable reviews,38
669,EA Canada,104143,Generally favorable reviews,25,"Sports, Traditional, Team, Basketball, Arcade, Arcade",,EA Sports Big,https://www.metacritic.com/company/ea-sports-big,E,Generally favorable reviews,20
670,EA Canada,105787,Mixed or average reviews,23,"Sports, Traditional, Team, Soccer, Sim, Sim",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E,Generally favorable reviews,22
671,989 Sports,105914,Generally favorable reviews,26,"Sports, Traditional, Team, Baseball, Sim, Sim",2 Players 2 Players Online,SCEA,https://www.metacritic.com/company/scea,E,Generally favorable reviews,19
672,EA Canada,104141,Generally favorable reviews,25,"Sports, Traditional, Individual, Golf, Sim, Sim",,EA Sports,https://www.metacritic.com/company/ea-sports,E,Mixed or average reviews,14
673,Shaba Games,104146,Generally favorable reviews,49,"Sports, Alternative, Individual, Skateboarding, Skateboarding, Skate / Skateboard",,Activision,https://www.metacritic.com/company/activision,T,Generally favorable reviews,42
674,SCEE London Studio,105817,Mixed or average reviews,20,"Sports, Traditional, Soccer, Sim",,SCEA,https://www.metacritic.com/company/scea,E,Mixed or average reviews,7
675,EA Tiburon,105785,Mixed or average reviews,23,"Sports, Traditional, Team, Football, Arcade, Arcade",,EA Sports Big,https://www.metacritic.com/company/ea-sports-big,E,Mixed or average reviews,15
676,Crave,162745,Generally unfavorable reviews,4,"Sports, Alternative, Bowling",,Crave,https://www.metacritic.com/company/crave,E,No user score yet,
677,989 Sports,104170,Mixed or average reviews,25,"Sports, Traditional, Team, Basketball, Sim, Sim",2 Players Online,SCEA,https://www.metacritic.com/company/scea,E,Mixed or average reviews,14
678,Sports Mogul,106210,Mixed or average reviews,5,"Sports, Traditional, Team, Baseball, Management, Sim",,Sports Mogul,https://www.metacritic.com/company/sports-mogul,,Generally favorable reviews,5
679,Page 44 Studios,105913,Mixed or average reviews,23,"Sports, Traditional, Ice Hockey, Sim, Sim",2 Players Online,SCEA,https://www.metacritic.com/company/scea,E,Mixed or average reviews,10
680,SCEE,105916,Mixed or average reviews,31,"Sports, Traditional, Team, Soccer, Sim, Sim",,SCEA,https://www.metacritic.com/company/scea,E,Mixed or average reviews,4
681,989 Sports,105516,Generally favorable reviews,32,"Sports, Traditional, Baseball, Sim",2 Players Online,SCEA,https://www.metacritic.com/company/scea,E,Generally favorable reviews,22
682,HB Studios Multimedia,105799,Mixed or average reviews,15,"Sports, Alternative, Rugby",,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,19
683,HB Studios Multimedia,162688,Generally favorable reviews,20,"Sports, Alternative, Rugby",,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,11
684,Kush Games,105522,Generally favorable reviews,19,"Sports, Traditional, Baseball, Sim",2 Players Online,Take-Two Interactive,https://www.metacritic.com/company/take-two-interactive,E,Mixed or average reviews,20
685,EA Sports,105575,Generally favorable reviews,37,"Sports, Traditional, Boxing",2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,T,Generally favorable reviews,43
686,EA Sports,162674,Generally favorable reviews,32,"Sports, Traditional, Boxing",2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,T,Mixed or average reviews,11
687,EA Sports,162531,Generally favorable reviews,48,"Sports, Traditional, Boxing",2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,T,Generally favorable reviews,31
688,Kush Games,162670,Generally favorable reviews,25,"Sports, Traditional, Baseball, Sim",2 Players Online,Take-Two Interactive,https://www.metacritic.com/company/take-two-interactive,E,Generally favorable reviews,17
689,EA Canada,162638,Mixed or average reviews,21,"Sports, Traditional, Soccer, Arcade",,EA Sports Big,https://www.metacritic.com/company/ea-sports-big,E,Generally favorable reviews,11
690,EA Canada,105297,Mixed or average reviews,29,"Sports, Traditional, Soccer, Arcade",,EA Sports Big,https://www.metacritic.com/company/ea-sports-big,E,Generally favorable reviews,66
691,EA Sports,162667,Generally favorable reviews,20,"Sports, Traditional, Baseball, Sim",,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,22
692,EA Sports,105433,Generally favorable reviews,11,"Sports, Traditional, Team, Baseball, Sim, Sim",2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Mixed or average reviews,22
693,EA Sports,105434,Generally favorable reviews,25,"Sports, Traditional, Baseball, Sim",2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,52
694,KCET,105063,Generally favorable reviews,7,"Sports, Traditional, Team, Soccer, Sim, Sim",,Konami,https://www.metacritic.com/company/konami,E,Generally favorable reviews,31
695,EA Canada,162582,Generally favorable reviews,36,"Sports, Traditional, Basketball, Arcade",,EA Sports Big,https://www.metacritic.com/company/ea-sports-big,E,Generally favorable reviews,18
696,EA Canada,104393,Generally favorable reviews,36,"Sports, Traditional, Basketball, Arcade",2 Players Online,EA Sports Big,https://www.metacritic.com/company/ea-sports-big,E,Generally favorable reviews,53
697,KCET,162676,Universal acclaim,25,"Sports, Traditional, Soccer, Sim",,Konami,https://www.metacritic.com/company/konami,E,Generally favorable reviews,13
698,KCET,104275,Universal acclaim,26,"Sports, Traditional, Soccer, Sim",,Konami,https://www.metacritic.com/company/konami,E,Generally favorable reviews,52
